Check In,Forecasted_Total
2021-08-01,2847.2363024676797
2021-08-08,3680.329734260223
2021-08-15,3363.896088717026
2021-08-22,2235.304710659285
2021-08-29,1180.476768167946
2021-09-05,836.5357980298626
2021-09-12,1153.9565514717008
2021-09-19,1649.1332141347473
2021-09-26,1941.0794633098233
2021-10-03,1990.5598552872618
2021-10-10,1933.1740401551629
2021-10-17,1859.8483797858894
2021-10-24,1818.2920106907632
2021-10-31,1907.2432337269665
2021-11-07,2207.701648759831
2021-11-14,2596.476622681992
2021-11-21,2751.233948250355
2021-11-28,2459.862420128893
2021-12-05,1913.026700923314
2021-12-12,1583.8829255396656
2021-12-19,1753.6011036562004
2021-12-26,2196.073010119845
2022-01-02,2402.5127078035553
2022-01-09,2119.6864210802546
2022-01-16,1606.2686651761837
2022-01-23,1329.251929632344
2022-01-30,1456.8759450225043
2022-02-06,1713.067996765026
2022-02-13,1718.7010800326905
2022-02-20,1400.2918401739446
2022-02-27,1024.1070062997187
2022-03-06,881.8497072572578
2022-03-13,1019.9956944425314
2022-03-20,1271.4447803768323
2022-03-27,1460.0383496366233
2022-04-03,1509.0866870039542
2022-04-10,1401.8780196637808
2022-04-17,1152.192859672673
2022-04-24,857.1340794982038
2022-05-01,698.6404730425437
2022-05-08,788.3833071536181
2022-05-15,1007.2635196014712
2022-05-22,1088.6086627674526
2022-05-29,919.0459326328037
2022-06-05,703.3776161350015
2022-06-12,735.7888869673701
2022-06-19,1003.8489712331774
2022-06-26,1131.5469106301275
2022-07-03,819.2324265282516
2022-07-10,310.43685200318714
2022-07-17,281.8919827786699
2022-07-24,1162.2023980628755
2022-07-31,2579.082297175772
2022-08-07,3580.6494953086576
2022-08-14,3470.9134518296314
2022-08-21,2428.0337775564553
2022-08-28,1296.4503820903956
2022-09-04,809.1312837857557
2022-09-11,1038.6703279041951
2022-09-18,1538.932006479707
2022-09-25,1879.3789023631732
2022-10-02,1963.4878109591543
2022-10-09,1915.8511912491217
2022-10-16,1842.1758560496737
2022-10-23,1789.6057655206773
2022-10-30,1846.2956324899794
2022-11-06,2110.2709931142654
2022-11-13,2503.8857190132167
2022-11-20,2724.4402142181634
2022-11-27,2511.7469881334046
2022-12-04,1978.6969682988606
2022-12-11,1577.8686924118197
