ID,Group ID,Status,Created,Last Updated,Check In,Check Out,Room,,Nights,Guest,Booking,,Fees,Total,Paid,Owing,,,Booking Source
B2IKC,-,Checked In,10/10/2021 17:22,1/11/2021 16:22,6/10/2021 15:00,1/11/2021 10:30,Rm 3,,26 Nights,784,780,,0,780,0,780,,,DCC
B2I4A,-,Checked Out,29/09/2021 10:47,1/11/2021 16:17,27/09/2021 15:00,20/10/2021 10:30,Rm 5,,23 Nights,785,690,,0,690,0,690,,,DCC
B2I49,-,Checked Out,29/09/2021 10:46,17/11/2021 17:15,27/09/2021 15:00,6/10/2021 10:30,Rm 3,,9 Nights,786,270,,0,270,0,270,,,DCC
B2I46,-,Checked In,29/09/2021 10:44,29/09/2021 10:44,22/09/2021 15:00,27/09/2021 10:30,Rm 3,,5 Nights,787,150,,0,150,0,150,,,DCC
B2HQV,-,Checked In,21/09/2021 18:19,21/09/2021 18:20,21/09/2021 15:00,27/09/2021 10:30,Rm 5,,6 Nights,788,180,,0,180,0,180,,,DCC
B2HQU,-,Checked Out,21/09/2021 18:18,8/11/2021 11:28,13/09/2021 15:00,21/09/2021 10:30,Rm 5,,8 Nights,789,240,,0,240,0,240,,,DCC
B2HQT,-,Checked Out,21/09/2021 18:17,2/11/2021 19:05,20/09/2021 15:00,3/11/2021 10:30,Rm 6,,44 Nights,790,1320,,0,1320,0,1320,,,DCC
B2HQS,-,Checked In,21/09/2021 18:16,21/09/2021 18:16,18/09/2021 15:00,20/09/2021 10:30,Rm 6,,2 Nights,791,60,,0,60,0,60,,,DCC
B2HQR,-,Checked Out,21/09/2021 18:14,1/11/2021 16:20,20/09/2021 15:00,13/10/2021 10:30,Rm 8,,23 Nights,792,690,,0,690,0,690,,,AHDCC
B2HQQ,-,Checked In,21/09/2021 18:12,21/09/2021 18:13,18/09/2021 15:00,20/09/2021 10:30,Rm 8,,2 Nights,793,60,,0,60,0,60,,,AHDCC
B2HQP,-,Checked Out,21/09/2021 18:08,1/11/2021 16:18,13/09/2021 15:00,13/10/2021 10:30,Rm 9,,30 Nights,794,900,,0,900,0,900,,,DCC
B2H8C,-,Checked In,9/9/2021 19:36,8/11/2021 11:28,6/9/2021 15:00,13/09/2021 10:30,Rm 5,,7 Nights,795,210,,0,210,0,210,,,DCC
B2H0B,-,Checked In,6/9/2021 10:09,9/9/2021 19:50,30/08/2021 15:00,8/9/2021 10:30,Rm 7,,9 Nights,796,270,,0,270,0,270,,,CLDCC
B2H09,-,Checked In,6/9/2021 10:08,8/11/2021 11:28,27/08/2021 15:00,30/08/2021 10:30,Rm 7,,3 Nights,797,90,,0,90,0,90,,,CLDCC
B2H07,-,Checked Out,6/9/2021 10:03,9/9/2021 19:48,30/08/2021 15:00,7/9/2021 10:30,Rm 9,,8 Nights,798,240,,0,240,0,240,,,DCC
B2H06,-,Checked Out,6/9/2021 9:58,6/9/2021 9:58,30/08/2021 15:00,3/9/2021 10:30,Rm 5,,4 Nights,799,120,,0,120,0,120,,,DCC
B2GE5,-,Checked Out,23/08/2021 11:41,21/09/2021 18:09,16/08/2021 15:00,13/09/2021 10:30,Rm 8,,28 Nights,800,840,,0,840,0,840,,,DCC
B2FPL,-,Checked In,6/8/2021 19:18,1/8/2022 15:54,2/8/2021 15:00,31/08/2022 10:30,Rm 2,,394 Nights,801,19700,,0,19700,0,19700,,,AHDCC
B2FPK,-,Checked In,6/8/2021 19:16,1/8/2022 15:55,2/8/2021 15:00,31/08/2022 10:30,Rm 1,,394 Nights,802,15760,,0,15760,0,15760,,,AHDCC
B2FMM,-,Checked In,4/8/2021 19:54,25/08/2021 14:55,23/08/2021 15:00,30/08/2021 10:30,Rm 5,,7 Nights,803,0,,0,0,0,0,,,DCC
B2FML,-,Blocked Out,4/8/2021 19:54,4/8/2021 19:54,1/8/2021 15:00,31/08/2021 10:30,Rm 4,,30 Nights,804,900,,0,0,0,0,,,-
B2FMJ,-,Checked In,4/8/2021 19:53,6/9/2021 10:11,12/8/2021 15:00,16/08/2021 10:30,Rm 8,,4 Nights,805,0,,0,0,0,0,,,DCC
B2FMI,-,Checked In,4/8/2021 19:53,6/9/2021 10:00,23/08/2021 15:00,30/08/2021 10:30,Rm 9,,7 Nights,806,210,,0,210,0,210,,,DCC
B2FMH,-,Blocked Out,4/8/2021 19:52,4/8/2021 19:52,1/8/2021 15:00,31/08/2021 10:30,Rm 3,,30 Nights,807,0,,0,0,0,0,,,-
B2FMG,-,Blocked Out,4/8/2021 19:51,4/8/2021 19:51,1/8/2021 15:00,31/08/2021 10:30,Rm 6,,30 Nights,808,900,,0,0,0,0,,,-
B2FMF,-,Checked In,4/8/2021 19:50,6/8/2021 19:20,1/8/2021 15:00,2/8/2021 10:30,Rm 2,,1 Night,809,50,,0,50,0,50,,,AHDCC
B2FME,-,Checked In,4/8/2021 19:49,6/8/2021 19:21,1/8/2021 15:00,2/8/2021 10:30,Rm 1,,1 Night,810,40,,0,40,0,40,,,AHDCC
B1QCH,-,Checked In,21/02/2021 15:06,8/11/2021 11:28,6/11/2020 15:00,9/11/2020 10:30,Rm 4,,3 Nights,811,90,,0,90,0,90,,,DCC
B1POZ,-,Over Booking,16/01/2021 13:23,16/06/2021 10:03,13/01/2021 15:00,1/2/2021 10:30,Rm 8,,19 Nights,812,570,,0,570,0,570,,,EBC
B1POX,-,Requested,16/01/2021 12:15,16/06/2021 10:03,11/1/2021 15:00,15/01/2021 10:30,Rm 8,,4 Nights,813,120,,0,120,0,120,,,DCC
B1PJP,-,Requested,9/1/2021 13:46,16/06/2021 10:03,8/1/2021 15:00,1/2/2021 10:30,Rm 5,,24 Nights,814,720,,0,720,0,720,,,DCC
B1PJO,-,Requested,9/1/2021 13:44,16/06/2021 10:03,8/1/2021 15:00,1/2/2021 10:30,Rm 3,,24 Nights,815,720,,0,720,0,720,,,EBC
B1PJN,-,Requested,9/1/2021 13:41,16/06/2021 10:03,7/1/2021 15:00,1/2/2021 10:30,Rm 9,,25 Nights,816,750,,0,750,0,750,,,DCC
B1PJM,-,Requested,9/1/2021 13:39,16/06/2021 10:03,6/1/2021 15:00,7/1/2021 10:30,Rm 9,,1 Night,817,30,,0,30,0,30,,,CLDCC
B1PJL,-,Requested,9/1/2021 13:37,16/06/2021 10:03,4/1/2021 15:00,5/1/2021 10:30,Rm 8,,1 Night,818,30,,0,30,0,30,,,-
B1PH8,-,Requested,5/1/2021 21:32,16/06/2021 10:03,2/1/2021 15:00,4/1/2021 10:30,Rm 8,,2 Nights,819,60,,0,60,0,60,,,NED
B1PG8,-,Requested,4/1/2021 19:45,16/06/2021 10:03,20/12/2020 15:00,21/12/2020 10:30,Rm 5,,1 Night,820,30,,0,30,0,30,,,CLDCC
B1PG7,-,Requested,4/1/2021 19:36,16/06/2021 10:03,21/12/2020 15:00,4/1/2021 10:30,Rm 5,,14 Nights,821,420,,0,420,0,420,,,DCC
B1PG5,-,Checked In,4/1/2021 19:31,8/11/2021 11:28,21/12/2020 15:00,1/2/2021 10:30,Rm 4,,42 Nights,822,1260,,0,1260,0,1260,,,DCC
B1PG4,-,Requested,4/1/2021 19:27,16/06/2021 10:03,4/1/2021 15:00,5/1/2021 10:30,Rm 9,,1 Night,823,40,,0,40,0,40,,,VA
B1PEC,-,Requested,2/1/2021 18:12,16/06/2021 10:03,2/1/2021 15:00,4/1/2021 10:30,Rm 9,,2 Nights,824,80,,0,80,0,80,,,VA
B1PC2,-,Requested,30/12/2020 17:37,16/06/2021 10:03,30/12/2020 15:00,7/1/2021 10:30,Rm 3,,8 Nights,825,240,,0,240,0,240,,,DCC
B1P1L,-,Cancelled,11/12/2020 14:59,16/06/2021 10:15,11/12/2020 15:00,14/12/2020 10:30,Rm 5,,3 Nights,826,90,,0,90,0,90,,,DCC
B1P0K,-,Requested,9/12/2020 18:42,16/06/2021 10:15,4/12/2020 15:00,9/12/2020 10:30,Rm 5,,5 Nights,827,150,,0,150,0,150,,,DCC
B1OZR,-,Cancelled,8/12/2020 20:48,16/06/2021 10:15,22/12/2020 15:00,25/12/2020 10:30,Rm 1,,3 Nights,828,90,,0,90,0,90,,,-
B1OZP,-,Cancelled,8/12/2020 20:35,16/06/2021 10:15,22/12/2020 15:00,28/12/2020 10:30,Rm 3,,6 Nights,829,180,,0,180,0,180,,,-
B1OZI,-,Cancelled,8/12/2020 18:27,16/06/2021 10:15,23/12/2020 15:00,26/12/2020 10:30,Rm 7,,3 Nights,830,90,,0,90,0,90,,,-
B1OZG,-,Blocked Out,8/12/2020 18:23,16/06/2021 10:15,3/12/2020 15:00,21/12/2020 10:30,Rm 8,,18 Nights,831,0,,0,0,0,0,,,-
